,title,company,location,salary,summary
0,"
Data Engineering - Scala Databricks - Multiple locations","

UnitedHealth Group",nan,nan,"Experience in data ingestion, preparation, integration and operationalization techniques in optimally addressing the data requirements."
1,"
Data Warehouse Engineer III","

Indeed",nan,"

₹39,20,000 - ₹56,80,000 a year
","The successful candidate will have hands on data processing and data modeling experience in a ""big data"" environment."
2,"
Solutions Data Science Analyst","
One Concern","Alwal, Hyderabad, Telangana",nan,1-3 years of software or data science and engineering experience.
3,"
Data and Applied Scientist","

Microsoft","Hyderabad, Telangana",nan,Experience in building full stack data science models with various Azure technologies.
4,"
Clinical Data Analyst I","

Parexel","Hyderabad, Telangana",nan,"Responsible for data cleaning and data review activities, e.g. query management."
5,"
Junior Data Scientist/ta","
WSD Consultant","Gurgaon, Haryana","

₹7,00,000 - ₹15,00,000 a year
",These programs help them master data-driven decision-making regardless of the sector or function they work in and secure their career growth into the future.
6,"
Data Science Intern","
Virtual Sense Global Technologies","Pune, Maharashtra","

₹12,000 a month
","Virtual Sense is a digital health company working on cutting edge hardware, software and data science problems for applications of deep science to betterment of…"
7,"
Data Science Internship","
Arthashastra Intelligence Private Limited","Hyderabad, Telangana","

₹2,000 a month
",Work with the directors throughout the organization to identify opportunities for leveraging company data to drive business solutions.
8,"
Director Data science","

Novartis","Hyderabad, Telangana",nan,"Design, develop and deliver various data science based insights, outcomes and innovation (using mathematics, computer science, statistics, engineering,…"
9,"
Data Science Trainer","

Nacre Software Services Pvt. Ltd","Ameerpet, Hyderabad, Telangana","

₹3,00,000 - ₹5,00,000 a year
","Should have a strong knowledge on Machine Learning, Deep Learning, R Programming; Python,Statistics,Hadoop etc."
10,"
Data Science Engineer","
KGtoPG.com","Hyderabad, Telangana","

₹3,60,000 - ₹6,00,000 a year
","Experience in understanding business needs and translating to a data-science problem,."
11,"
Data Science","

Larsen & Toubro Infotech Limited",India,nan,Preferable Expertise in leveraging capabilities of AI & ML with medium to large customer data in Insurance Domain.
12,"
Senior Copywriter","
Nakivo",nan,"

₹1,32,000 a month
",Experience with data protection and/or data security technologies.
13,"
Senior SQL Data Analyst","
DeepR Analytics",nan,"

₹6,00,000 - ₹12,00,000 a year
",Querying historical high-frequency market data to identify price patterns.
14,"
Data Informatics Associate","

Covance",nan,nan,"Develops data point mapping, based data loader being used, and import to GSS operations data feed management system."
15,"
Data Scientist-1","

PayPal",nan,nan,As the decision science analyst she/he….
16,"
Associate Director, Data Management and Analytics","

Parexel",nan,nan,Experience in clinical trials data management desirable.
17,"
Data Engineer II","

Indeed",nan,"

₹27,00,000 - ₹40,60,000 a year
",Hands-on data processing and data modeling experience in a big data environment.
18,"
Senior Copywriter","
Nakivo",nan,"

₹1,32,000 a month
",Experience with data protection and/or data security technologies.
19,"
Data Analyst","

Cognizant","Hyderabad, Telangana",nan,Individuals in this role perform data entry of data received from Source documents into the respective Clinical/Safety database While peroforming this activity…
20,"
Data Scientist - India / Eastern Europe / South East Asia","
Tribes.AI",Remote,nan,Engage in exploratory data analysis tasks for different purposes.
21,"
data science engineer","
Proton Expert Systems & Solutions","Bengaluru, Karnataka","

₹15,000 - ₹20,000 a month
",We are hiring data science engineer for our company.
22,"
Data Engineer - QA","
Frugal Testing","Gachibowli, Hyderabad, Telangana","

₹3,00,000 - ₹8,00,000 a year
",• Analyze source systems & unify data to meet end-user data requirements • Able to take raw data & model/transform it to cater to reporting requirements •…
23,"
Data Science Trainer","

Elan Academy",Remote,"

₹300 - ₹1,000 an hour
",Trainers should train the students who want to become a Data Scientist.
24,"
Data Scientist","
Roche Pharmaceuticals","Mumbai, Maharashtra","

₹6,50,000 a year
", Ability to wrangle raw data sets into a format that can have advanced methods applied against the resulting data.
25,"
Data & Analytics Manager","

Microsoft","Hyderabad, Telangana",nan,Hands on experience designing and implementing data warehouse schemas and data models for decision support for supply chain.
26,"
Sofware Engineer (ML/Data science/Python)","
Bursys Infotech India Pvt Ltd","Panchkula, Haryana","

₹20,000 - ₹30,000 a month
",Job Designation: Software Engineer (Data science/ML/Python).
27,"
Data Science Intern","
ACROBYTE TECHNOLOGIES",Remote,nan,"Analyze raw data: assessing quality, cleansing, structuring for downstream processing."
28,"
Data Analyst (Python, ELG developer, Machine Learning)","

3RI TECHNOLOGIES","Pune, Maharashtra",nan,"Providing technical expertise in data storage structures, data mining, and data cleansing."
29,"
Manager Data Science","

PayPal",nan,nan,Design and implement data-driven systems that increase sales success.
30,"
Data Engineering - Scala Databricks - Multiple locations","

UnitedHealth Group",nan,nan,"Experience in data ingestion, preparation, integration and operationalization techniques in optimally addressing the data requirements."
31,"
Senior Data Scientist-1","

PayPal",nan,nan,Leveraging data analysis tools and technologies.
